,head,topic_rep
0,IHK: questionable US action,0.0
1,Israeli plane hits Syrian army position in Golan,0.0
2,Trump’s travel ban goes into effect; protesters take to the streets,0.0
3,China puts its military might on display during Xi’s visit to HK,0.0
4,Le Pen charged over EU funding scandal,0.0
5,TV hosts targeted by Trump question his ‘unmoored behaviour’,0.0
6,Obama visits childhood home Jakarta,0.0
7,Destruction of al-Nuri mosque in Mosul is another example of ‘culturecide’,0.0
8,What is EU doing about unaccompanied refugee children?,0.0
9,"Rains expose deficiencies in city’s municipal, power supply systems",0.0
10,Zardari describes Nawaz as ‘ungrateful’,0.0
11,Cabinet approves repeal of accountability law’s applicability in Sindh,0.0
12,Rain brings back joy to drought-hit Tharis,0.0
13,Liver transplant at SZH: High-level probe sought into donor’s death,0.0
14,Sikh community to protest at Wagah Border,0.0
15,"As probe into fire tragedy begins, death toll rises",0.0
16,ECP to launch awareness drive on women’s vote,0.0
17,JIT a fixed match: Qadri,0.04940315708518028
18,Vendor kidnapped for charging ‘high price’ for fruit,0.0
19,"PUC announces campaign against sectarianism, terrorism",0.0
20,End to Israeli occupation will pave way for ME peace: UN chief,0.0
21,Five suicide bombers attack Lebanese troops during raids,0.0
22,Bolt seeks quick fix for back issue with German doctor,0.1379503607749939
23,Tour de France favourites expect exciting battle,0.23453496396541595
24,Parachinar sit-in called off after Bajwa’s visit,0.0
25,Pakistan still on radar of terror financing watchdog,0.0
26,SECP chief distances himself from possible record tampering,0.0
27,MQM factions spar over leader’s meetings in US,0.0
28,Nine killed in Lasbela flash flood,0.0
29,"No change in Kashmir policy, says US",0.0
30,"London acid attack victim says he, cousin targeted for being Muslim",0.0
31,"Victims’ relatives coerced into accepting blood money, says Davis",0.0
32,Sharifs to confront ‘evidence’ given to JIT by FIA’s ex-official,0.0
33,North Waziristan trade route reopens on Monday,0.0
34,Sadequain’s doodle makes art lovers feel proud,0.0
35,"Fiscal, C/A balances must be kept at sustainable levels: SBP",0.0
36,SRB collection jumps 28pc to Rs78bn,0.0
37,"Rain slows down trade, industrial activities in Karachi",0.0
38,Several UK banks stop selling Qatar riyals,0.02412392944097519
39,Amazon deal can help Nike get  back on track,0.0
40,"PHF secretary Shahbaz blasts hockey team for lack of temperament, intellect",0.24410949647426605
41,"Jadhav, Dhoni steer India to 251-4",0.9740571975708008
42,"Tribunal snubs Khalid’s lawyer, Nasir’s counsel fails to submit brief",0.041510652750730515
43,"Federer, Murray drawn to potentially face off with Djokovic, Nadal in semis",0.04368996620178223
44,4G licence formally handed over to Jazz Pakistan,0.0
45,Swat rights activist says survived armed attack,0.0
46,Bid to blow up Jaffar Express foiled,0.027820244431495667
47,"Situationer: Don't look now, it's Parachinar",0.024756520986557007
48,"Security official, three civilians killed in mine blast in Khyber Agency",0.0
49,Stars gather as Messi ties the knot with childhood sweetheart,0.0
50,This heartwarming film about Hindu-Muslim unity just won at the London Indian Film Festival,0.0
51,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.08718562126159668
52,"Zardari claims credit for empowering parliament, trade ties with China",0.0
53,India presses Microsoft for Windows discount in wake of cyber attacks,0.0
54,Balochistan health department suspends 22 absentee doctors,0.1313363015651703
55,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.0871834009885788
56,"Movie makeup tips: Forget making an actor look good, focus on the character",0.08174367249011993
57,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.0871858224272728
58,"Two LeT militants killed in Kashmir gun battle, Indian forces claim",0.0
59,Karachi police arrest alleged killer of senior journalist Zeba Burney,0.0
60,Four dead as bus falls into ravine in Murree,0.0
61,Jay Z addresses his infidelity to Beyonce and newborn twins in '4:44' album,0.0
62,Two foreign climbers missing on 'Killer Mountain' presumed dead,0.5820818543434143
63,25 people wounded in US nightclub shooting,0.0
64,"I don't like to hire stars, I make stars: Shoaib Mansoor",0.0
65,"Panama Papers JIT probe enters crucial, concluding stage",0.03735685721039772
66,Some solutions to Pakistan's professor mafia,0.0
67,Islamabad provides list of 546 Indian prisoners to New Delhi,0.0
